variable,data_type,role,missing_values,unique_values,example_values
marital_status,int64,Early-warning feature candidate,0,6,"1, 2, 4"
application_mode,int64,Early-warning feature candidate,0,18,"17, 15, 1"
application_order,int64,Early-warning feature candidate,0,8,"5, 1, 2"
course,int64,Early-warning feature candidate,0,17,"171, 9254, 9070"
daytime_evening_attendance,int64,Early-warning feature candidate,0,2,"1, 0"
previous_qualification,int64,Early-warning feature candidate,0,17,"1, 19, 42"
previous_qualification_grade,float64,Early-warning feature candidate,0,101,"122.0, 160.0, 100.0"
nacionality,int64,Excluded: governance,0,21,"1, 62, 6"
mother_s_qualification,int64,Early-warning feature candidate,0,29,"19, 1, 37"
father_s_qualification,int64,Early-warning feature candidate,0,34,"12, 3, 37"
mother_s_occupation,int64,Early-warning feature candidate,0,32,"5, 3, 9"
father_s_occupation,int64,Early-warning feature candidate,0,46,"9, 3, 7"
admission_grade,float64,Early-warning feature candidate,0,620,"127.3, 142.5, 124.8"
displaced,int64,Early-warning feature candidate,0,2,"1, 0"
educational_special_needs,int64,Excluded: governance,0,2,"0, 1"
debtor,int64,Early-warning feature candidate,0,2,"0, 1"
tuition_fees_up_to_date,int64,Early-warning feature candidate,0,2,"1, 0"
gender,int64,Excluded: governance,0,2,"1, 0"
scholarship_holder,int64,Early-warning feature candidate,0,2,"0, 1"
age_at_enrollment,int64,Early-warning feature candidate,0,46,"20, 19, 45"
international,int64,Excluded: governance,0,2,"0, 1"
curricular_units_first_sem_credited,int64,Early-warning feature candidate,0,21,"0, 2, 3"
curricular_units_first_sem_enrolled,int64,Early-warning feature candidate,0,23,"0, 6, 5"
curricular_units_first_sem_evaluations,int64,Early-warning feature candidate,0,35,"0, 6, 8"
curricular_units_first_sem_approved,int64,Early-warning feature candidate,0,23,"0, 6, 5"
curricular_units_first_sem_grade,float64,Early-warning feature candidate,0,797,"0.0, 14.0, 13.42857143"
curricular_units_first_sem_without_evaluations,int64,Early-warning feature candidate,0,11,"0, 1, 2"
curricular_units_second_sem_credited,int64,Excluded: second-semester leakage,0,19,"0, 1, 2"
curricular_units_second_sem_enrolled,int64,Excluded: second-semester leakage,0,22,"0, 6, 5"
curricular_units_second_sem_evaluations,int64,Excluded: second-semester leakage,0,30,"0, 6, 10"
curricular_units_second_sem_approved,int64,Excluded: second-semester leakage,0,20,"0, 6, 5"
curricular_units_second_sem_grade,float64,Excluded: second-semester leakage,0,782,"0.0, 13.66666667, 12.4"
curricular_units_second_sem_without_evaluations,int64,Excluded: second-semester leakage,0,10,"0, 5, 2"
unemployment_rate,float64,Early-warning feature candidate,0,10,"10.8, 13.9, 9.4"
inflation_rate,float64,Early-warning feature candidate,0,9,"1.4, -0.3, -0.8"
gdp,float64,Early-warning feature candidate,0,10,"1.74, 0.79, -3.12"
target,str,Outcome descriptor,0,3,"Dropout, Graduate, Enrolled"
target_original,str,Outcome descriptor,0,3,"Dropout, Graduate, Enrolled"
is_dropout,int64,Operational target,0,2,"1, 0"
course_name,str,Reporting label,0,17,"Animation and Multimedia Design, Tourism, Communication Design"
first_sem_approval_ratio,float64,Early-warning feature candidate,0,61,"0.0, 1.0, 0.8333333333333334"
first_sem_unapproved_units,int64,Early-warning feature candidate,0,10,"0, 6, 1"
first_sem_approved_per_evaluation,float64,Early-warning feature candidate,0,137,"0.0, 1.0, 0.75"
first_sem_without_eval_ratio,float64,Early-warning feature candidate,0,40,"0.0, 0.2, 0.4"
financial_risk_flag,int64,Early-warning feature candidate,0,2,"0, 1"
age_quantile_group,category,Early-warning feature candidate,0,4,"(19.0, 20.0], (16.999, 19.0], (25.0, 70.0]"
