,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nacionality,mother_s_qualification,father_s_qualification,mother_s_occupation,father_s_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_first_sem_credited,curricular_units_first_sem_enrolled,curricular_units_first_sem_evaluations,curricular_units_first_sem_approved,curricular_units_first_sem_grade,curricular_units_first_sem_without_evaluations,curricular_units_second_sem_credited,curricular_units_second_sem_enrolled,curricular_units_second_sem_evaluations,curricular_units_second_sem_approved,curricular_units_second_sem_grade,curricular_units_second_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target,target_original,is_dropout,course_name,first_sem_approval_ratio,first_sem_unapproved_units,first_sem_approved_per_evaluation,first_sem_without_eval_ratio,financial_risk_flag,age_quantile_group
0,1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Dropout,1,Animation and Multimedia Design,0.0,0,0.0,0.0,0,"(19.0, 20.0]"
1,1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate,Graduate,0,Tourism,1.0,0,1.0,0.0,1,"(16.999, 19.0]"
2,1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Dropout,1,Communication Design,0.0,6,0.0,0.0,1,"(16.999, 19.0]"
3,1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Graduate,0,Journalism and Communication,1.0,0,0.75,0.0,0,"(19.0, 20.0]"
4,2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Graduate,0,Social Service (evening attendance),0.8333333333333334,1,0.5555555555555556,0.0,0,"(25.0, 70.0]"
5,2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Graduate,0,Management (evening attendance),1.0,0,0.5,0.0,1,"(25.0, 70.0]"
6,1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Graduate,0,Nursing,1.0,0,0.7777777777777778,0.0,0,"(16.999, 19.0]"
7,1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Dropout,1,Tourism,0.0,5,0.0,0.0,1,"(20.0, 25.0]"
8,1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate,Graduate,0,Social Service,1.0,0,0.75,0.0,0,"(20.0, 25.0]"
9,1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,Dropout,1,Social Service,0.8333333333333334,1,0.5555555555555556,0.0,1,"(16.999, 19.0]"
10,1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,Graduate,0,Advertising and Marketing Management,1.0,0,1.0,0.0,0,"(16.999, 19.0]"
11,1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate,Graduate,0,Nursing,0.875,1,0.875,0.0,0,"(16.999, 19.0]"
12,1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Dropout,1,Basic Education,0.0,6,0.0,0.0,0,"(16.999, 19.0]"
13,1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Graduate,0,Tourism,1.0,0,0.8571428571428571,0.0,0,"(20.0, 25.0]"
14,1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,Graduate,0,Veterinary Nursing,0.8,1,0.5714285714285714,0.0,0,"(16.999, 19.0]"
15,1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,Dropout,1,Journalism and Communication,0.8333333333333334,1,0.8333333333333334,0.0,0,"(19.0, 20.0]"
16,1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,Enrolled,0,Social Service,0.16666666666666666,5,0.1,0.0,0,"(16.999, 19.0]"
17,1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,Graduate,0,Nursing,1.0,0,0.875,0.0,0,"(16.999, 19.0]"
18,1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,Graduate,0,Equinculture,0.8,1,0.5,0.2,0,"(19.0, 20.0]"
19,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled,Enrolled,0,Basic Education,0.8571428571428571,1,0.8571428571428571,0.0,0,"(16.999, 19.0]"
20,1,1,3,171,1,1,122.0,1,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Graduate,0,Animation and Multimedia Design,0.0,0,0.0,0.0,0,"(20.0, 25.0]"
