,previous_qualification,previous_qualification_grade,mother_s_qualification,father_s_qualification,admission_grade,curricular_units_first_sem_credited,curricular_units_first_sem_enrolled,curricular_units_first_sem_evaluations,curricular_units_first_sem_approved,curricular_units_first_sem_grade,curricular_units_first_sem_without_evaluations,curricular_units_second_sem_credited,curricular_units_second_sem_enrolled,curricular_units_second_sem_evaluations,curricular_units_second_sem_approved,curricular_units_second_sem_grade,curricular_units_second_sem_without_evaluations,first_sem_approval_ratio,first_sem_unapproved_units,first_sem_approved_per_evaluation,first_sem_without_eval_ratio
0,1,122.0,19,12,127.3,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
1,1,160.0,1,3,142.5,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,1.0,0,1.0,0.0
2,1,122.0,37,37,124.8,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
3,1,122.0,38,37,119.6,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,1.0,0,0.75,0.0
4,1,100.0,37,38,141.5,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,0.8333333333333334,1,0.5555555555555556,0.0
5,19,133.1,37,37,114.8,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,1.0,0,0.5,0.0
6,1,142.0,19,38,128.4,0,7,9,7,13.3,0,0,8,8,8,14.345,0,1.0,0,0.7777777777777778,0.0
7,1,119.0,37,37,113.1,0,5,5,0,0.0,0,0,5,5,0,0.0,0,0.0,5,0.0,0.0
8,1,137.0,1,1,129.3,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,1.0,0,0.75,0.0
9,1,138.0,1,19,123.0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,0.8333333333333334,1,0.5555555555555556,0.0
10,1,139.0,38,19,130.6,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,1.0,0,1.0,0.0
11,1,136.0,19,38,119.3,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,0.875,1,0.875,0.0
12,1,133.0,19,37,130.2,0,6,6,0,0.0,0,0,6,0,0,0.0,0,0.0,6,0.0,0.0
13,42,110.0,1,1,111.8,0,6,7,6,10.57142857,0,0,6,8,5,11.0,0,1.0,0,0.8571428571428571,0.0
14,1,149.0,38,37,137.1,0,5,7,4,13.25,0,0,5,5,5,12.0,0,0.8,1,0.5714285714285714,0.0
15,1,127.0,19,37,120.7,0,6,6,5,13.2,0,0,6,7,0,0.0,0,0.8333333333333334,1,0.8333333333333334,0.0
16,1,137.0,19,38,137.4,0,6,10,1,12.0,0,0,6,14,2,11.0,0,0.16666666666666666,5,0.1,0.0
17,1,135.0,19,1,127.3,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,1.0,0,0.875,0.0
