,application_mode,application_order,course,daytime_evening_attendance,mother_s_occupation,father_s_occupation
0,17,5,171,1,5,9
1,15,1,9254,1,3,3
2,1,5,9070,1,9,9
3,17,2,9773,1,5,3
4,39,1,8014,0,9,9
5,39,1,9991,0,9,7
6,1,1,9500,1,7,10
7,18,4,9254,1,9,9
8,1,3,9238,1,9,9
9,1,1,9238,1,4,7
10,1,1,9670,1,5,7
11,1,1,9500,1,9,9
12,1,2,9853,1,4,9
13,53,1,9254,1,4,7
14,1,1,9085,1,5,5
15,1,1,9773,1,9,3
16,18,1,9238,1,5,8
17,17,2,9500,1,5,4
18,1,1,9130,1,3,5
19,1,1,9853,1,7,7
20,1,3,171,1,9,8
21,18,4,9556,1,4,7
22,1,4,9500,1,1,1
23,1,4,9670,1,4,7
24,1,1,9500,1,3,7
25,1,1,9238,1,9,9
26,17,2,9238,1,7,8
27,1,1,9085,1,3,3
28,1,1,9147,1,9,9
29,17,2,9500,1,1,10
30,44,1,9003,1,4,2
31,51,1,9070,1,125,124
32,1,1,9147,1,4,6
33,18,1,8014,0,9,5
34,1,1,9991,0,3,9
35,39,1,33,1,9,6
36,39,1,9119,1,0,0
37,43,1,9147,1,6,6
38,39,1,9991,0,9,3
39,44,1,9130,1,3,6
40,1,5,9773,1,2,2
41,1,2,9147,1,2,7
42,1,6,9500,1,2,2
43,17,1,9773,1,5,5
44,39,1,9991,0,9,9
45,17,1,9991,0,4,5
46,17,2,9238,1,9,9
47,17,6,9500,1,7,7
48,44,1,8014,0,9,9
49,1,1,9238,1,9,9
50,39,1,9254,1,9,7
51,1,1,9500,1,6,6
52,1,1,9773,1,7,7
53,1,3,9130,1,90,90
54,39,1,9991,0,9,9
55,1,1,9500,1,5,5
56,7,1,9254,1,4,3
57,39,1,9130,1,2,2
58,17,1,9500,1,7,10
59,1,3,171,1,4,9
60,1,2,9500,1,9,9
61,44,1,9238,1,9,9
62,17,3,171,1,4,7
63,17,1,9070,1,3,4
64,43,1,9070,1,3,3
65,42,1,9500,1,5,5
66,1,3,171,1,5,3
67,44,1,9003,1,9,9
68,1,3,9147,1,7,7
69,39,1,9254,1,7,10
70,17,1,9147,1,5,5
71,17,1,9500,1,8,4
72,1,1,171,1,5,10
73,17,4,9254,1,5,7
74,1,2,9773,1,9,9
75,17,3,9147,1,4,7
76,18,4,9254,1,7,7
77,17,4,9773,1,9,8
78,17,4,9500,1,9,9
79,39,1,8014,0,9,6
80,1,6,9853,1,9,9
81,39,1,9991,0,2,2
82,39,1,9003,1,4,2
83,17,1,9254,1,4,4
84,39,1,8014,0,9,6
85,42,1,9500,1,9,7
86,39,1,9670,1,4,5
87,17,1,9070,1,4,0
88,1,6,9147,1,9,9
89,43,2,9119,1,9,6
90,39,1,9500,1,4,10
91,17,2,9773,1,9,9
92,15,1,9130,1,4,4
93,39,1,9853,1,0,0
94,39,1,8014,0,9,9
95,15,1,9119,1,9,2
96,1,5,9773,1,5,5
97,1,5,9500,1,7,7
98,1,1,9085,1,9,1
99,1,4,9500,1,2,2
100,53,1,9085,1,9,9
101,1,4,171,1,9,10
102,39,1,8014,0,6,5
103,39,1,9003,1,9,6
104,18,1,9853,1,9,7
105,51,1,9070,1,2,8
106,1,2,9238,1,4,7
107,1,1,9085,1,4,4
108,1,5,9500,1,4,3
109,17,2,9853,1,9,3
110,1,1,9238,1,6,7
111,17,2,9147,1,4,7
112,1,1,9085,1,9,9
113,1,3,9773,1,4,7
114,17,2,9500,1,9,9
115,43,1,9500,1,9,5
116,17,1,9238,1,9,7
117,17,1,9147,1,3,3
118,1,2,9085,1,9,7
119,1,1,9147,1,4,5
120,17,1,9254,1,4,5
121,1,2,9147,1,9,7
122,1,1,171,1,2,9
123,1,1,9670,1,9,9
124,1,1,9085,1,4,7
125,17,6,9556,1,4,5
126,44,1,9085,1,9,9
127,1,1,9853,1,9,3
128,17,3,9238,1,5,3
129,17,6,9500,1,8,9
130,1,3,9500,1,5,8
131,17,2,9070,1,9,9
132,1,4,9147,1,4,8
133,17,6,9500,1,3,3
134,43,1,9238,1,9,7
135,1,1,9670,1,3,9
136,17,1,9670,1,5,5
137,1,1,9773,1,141,175
138,1,2,9500,1,4,7
