,target,target_original,is_dropout,course_name,age_quantile_group
0,Dropout,Dropout,1,Animation and Multimedia Design,"(19.0, 20.0]"
1,Graduate,Graduate,0,Tourism,"(16.999, 19.0]"
2,Dropout,Dropout,1,Communication Design,"(16.999, 19.0]"
3,Graduate,Graduate,0,Journalism and Communication,"(19.0, 20.0]"
4,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
5,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
6,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
7,Dropout,Dropout,1,Tourism,"(20.0, 25.0]"
8,Graduate,Graduate,0,Social Service,"(20.0, 25.0]"
9,Dropout,Dropout,1,Social Service,"(16.999, 19.0]"
10,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
11,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
12,Dropout,Dropout,1,Basic Education,"(16.999, 19.0]"
13,Graduate,Graduate,0,Tourism,"(20.0, 25.0]"
14,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
15,Dropout,Dropout,1,Journalism and Communication,"(19.0, 20.0]"
16,Enrolled,Enrolled,0,Social Service,"(16.999, 19.0]"
17,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
18,Graduate,Graduate,0,Equinculture,"(19.0, 20.0]"
19,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
20,Graduate,Graduate,0,Animation and Multimedia Design,"(20.0, 25.0]"
21,Enrolled,Enrolled,0,Oral Hygiene,"(19.0, 20.0]"
22,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
23,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
24,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
25,Enrolled,Enrolled,0,Social Service,"(16.999, 19.0]"
26,Graduate,Graduate,0,Social Service,"(20.0, 25.0]"
27,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
28,Graduate,Graduate,0,Management,"(19.0, 20.0]"
29,Enrolled,Enrolled,0,Nursing,"(16.999, 19.0]"
30,Enrolled,Enrolled,0,Agronomy,"(20.0, 25.0]"
31,Graduate,Graduate,0,Communication Design,"(19.0, 20.0]"
32,Enrolled,Enrolled,0,Management,"(16.999, 19.0]"
33,Graduate,Graduate,0,Social Service (evening attendance),"(16.999, 19.0]"
34,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
35,Dropout,Dropout,1,Biofuel Production Technologies,"(25.0, 70.0]"
36,Dropout,Dropout,1,Informatics Engineering,"(25.0, 70.0]"
37,Dropout,Dropout,1,Management,"(25.0, 70.0]"
38,Graduate,Graduate,0,Management (evening attendance),"(25.0, 70.0]"
39,Dropout,Dropout,1,Equinculture,"(19.0, 20.0]"
40,Dropout,Dropout,1,Journalism and Communication,"(16.999, 19.0]"
41,Graduate,Graduate,0,Management,"(20.0, 25.0]"
42,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
43,Dropout,Dropout,1,Journalism and Communication,"(19.0, 20.0]"
44,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
45,Enrolled,Enrolled,0,Management (evening attendance),"(20.0, 25.0]"
46,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
47,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
48,Graduate,Graduate,0,Social Service (evening attendance),"(20.0, 25.0]"
49,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
50,Graduate,Graduate,0,Tourism,"(20.0, 25.0]"
51,Enrolled,Enrolled,0,Nursing,"(16.999, 19.0]"
52,Enrolled,Enrolled,0,Journalism and Communication,"(19.0, 20.0]"
53,Graduate,Graduate,0,Equinculture,"(16.999, 19.0]"
54,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
55,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
56,Dropout,Dropout,1,Tourism,"(25.0, 70.0]"
57,Dropout,Dropout,1,Equinculture,"(25.0, 70.0]"
58,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
59,Enrolled,Enrolled,0,Animation and Multimedia Design,"(16.999, 19.0]"
60,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
61,Graduate,Graduate,0,Social Service,"(20.0, 25.0]"
62,Enrolled,Enrolled,0,Animation and Multimedia Design,"(16.999, 19.0]"
63,Enrolled,Enrolled,0,Communication Design,"(16.999, 19.0]"
64,Enrolled,Enrolled,0,Communication Design,"(20.0, 25.0]"
65,Dropout,Dropout,1,Nursing,"(25.0, 70.0]"
66,Graduate,Graduate,0,Animation and Multimedia Design,"(16.999, 19.0]"
67,Graduate,Graduate,0,Agronomy,"(20.0, 25.0]"
68,Dropout,Dropout,1,Management,"(16.999, 19.0]"
69,Enrolled,Enrolled,0,Tourism,"(25.0, 70.0]"
70,Enrolled,Enrolled,0,Management,"(16.999, 19.0]"
71,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
72,Dropout,Dropout,1,Animation and Multimedia Design,"(16.999, 19.0]"
73,Dropout,Dropout,1,Tourism,"(16.999, 19.0]"
74,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
75,Dropout,Dropout,1,Management,"(16.999, 19.0]"
76,Dropout,Dropout,1,Tourism,"(20.0, 25.0]"
77,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
78,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
79,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
80,Dropout,Dropout,1,Basic Education,"(19.0, 20.0]"
81,Dropout,Dropout,1,Management (evening attendance),"(25.0, 70.0]"
82,Dropout,Dropout,1,Agronomy,"(20.0, 25.0]"
83,Enrolled,Enrolled,0,Tourism,"(16.999, 19.0]"
84,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
85,Graduate,Graduate,0,Nursing,"(20.0, 25.0]"
86,Graduate,Graduate,0,Advertising and Marketing Management,"(20.0, 25.0]"
87,Graduate,Graduate,0,Communication Design,"(19.0, 20.0]"
88,Enrolled,Enrolled,0,Management,"(20.0, 25.0]"
89,Enrolled,Enrolled,0,Informatics Engineering,"(16.999, 19.0]"
90,Dropout,Dropout,1,Nursing,"(20.0, 25.0]"
91,Graduate,Graduate,0,Journalism and Communication,"(20.0, 25.0]"
92,Dropout,Dropout,1,Equinculture,"(25.0, 70.0]"
93,Dropout,Dropout,1,Basic Education,"(25.0, 70.0]"
94,Graduate,Graduate,0,Social Service (evening attendance),"(25.0, 70.0]"
95,Enrolled,Enrolled,0,Informatics Engineering,"(16.999, 19.0]"
96,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
97,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
98,Enrolled,Enrolled,0,Veterinary Nursing,"(16.999, 19.0]"
99,Dropout,Dropout,1,Nursing,"(16.999, 19.0]"
100,Dropout,Dropout,1,Veterinary Nursing,"(20.0, 25.0]"
101,Graduate,Graduate,0,Animation and Multimedia Design,"(19.0, 20.0]"
102,Dropout,Dropout,1,Social Service (evening attendance),"(25.0, 70.0]"
103,Graduate,Graduate,0,Agronomy,"(25.0, 70.0]"
104,Dropout,Dropout,1,Basic Education,"(16.999, 19.0]"
105,Graduate,Graduate,0,Communication Design,"(19.0, 20.0]"
106,Dropout,Dropout,1,Social Service,"(16.999, 19.0]"
107,Dropout,Dropout,1,Veterinary Nursing,"(19.0, 20.0]"
108,Dropout,Dropout,1,Nursing,"(19.0, 20.0]"
109,Enrolled,Enrolled,0,Basic Education,"(19.0, 20.0]"
110,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
111,Enrolled,Enrolled,0,Management,"(16.999, 19.0]"
112,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
113,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
114,Dropout,Dropout,1,Nursing,"(16.999, 19.0]"
115,Enrolled,Enrolled,0,Nursing,"(19.0, 20.0]"
116,Enrolled,Enrolled,0,Social Service,"(19.0, 20.0]"
117,Enrolled,Enrolled,0,Management,"(19.0, 20.0]"
118,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
119,Graduate,Graduate,0,Management,"(16.999, 19.0]"
120,Dropout,Dropout,1,Tourism,"(20.0, 25.0]"
121,Graduate,Graduate,0,Management,"(16.999, 19.0]"
122,Dropout,Dropout,1,Animation and Multimedia Design,"(16.999, 19.0]"
123,Graduate,Graduate,0,Advertising and Marketing Management,"(16.999, 19.0]"
124,Graduate,Graduate,0,Veterinary Nursing,"(16.999, 19.0]"
125,Dropout,Dropout,1,Oral Hygiene,"(16.999, 19.0]"
126,Graduate,Graduate,0,Veterinary Nursing,"(19.0, 20.0]"
127,Enrolled,Enrolled,0,Basic Education,"(16.999, 19.0]"
128,Graduate,Graduate,0,Social Service,"(16.999, 19.0]"
129,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
130,Dropout,Dropout,1,Nursing,"(16.999, 19.0]"
131,Graduate,Graduate,0,Communication Design,"(16.999, 19.0]"
132,Graduate,Graduate,0,Management,"(16.999, 19.0]"
133,Dropout,Dropout,1,Nursing,"(16.999, 19.0]"
134,Graduate,Graduate,0,Social Service,"(19.0, 20.0]"
135,Dropout,Dropout,1,Advertising and Marketing Management,"(16.999, 19.0]"
136,Graduate,Graduate,0,Advertising and Marketing Management,"(19.0, 20.0]"
137,Graduate,Graduate,0,Journalism and Communication,"(16.999, 19.0]"
138,Enrolled,Enrolled,0,Nursing,"(19.0, 20.0]"
139,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
140,Graduate,Graduate,0,Nursing,"(16.999, 19.0]"
