variable,count,mean,std,min,25%,50%,75%,max
marital_status,4424.0,1.179,0.606,1.0,1.0,1.0,1.0,6.0
application_mode,4424.0,18.669,17.485,1.0,1.0,17.0,39.0,57.0
application_order,4424.0,1.728,1.314,0.0,1.0,1.0,2.0,9.0
course,4424.0,8856.643,2063.566,33.0,9085.0,9238.0,9556.0,9991.0
daytime_evening_attendance,4424.0,0.891,0.312,0.0,1.0,1.0,1.0,1.0
previous_qualification,4424.0,4.578,10.217,1.0,1.0,1.0,1.0,43.0
previous_qualification_grade,4424.0,132.613,13.188,95.0,125.0,133.1,140.0,190.0
nacionality,4424.0,1.873,6.915,1.0,1.0,1.0,1.0,109.0
mother_s_qualification,4424.0,19.562,15.603,1.0,2.0,19.0,37.0,44.0
father_s_qualification,4424.0,22.275,15.343,1.0,3.0,19.0,37.0,44.0
mother_s_occupation,4424.0,10.961,26.418,0.0,4.0,5.0,9.0,194.0
father_s_occupation,4424.0,11.032,25.263,0.0,4.0,7.0,9.0,195.0
admission_grade,4424.0,126.978,14.482,95.0,117.9,126.1,134.8,190.0
displaced,4424.0,0.548,0.498,0.0,0.0,1.0,1.0,1.0
educational_special_needs,4424.0,0.012,0.107,0.0,0.0,0.0,0.0,1.0
debtor,4424.0,0.114,0.317,0.0,0.0,0.0,0.0,1.0
tuition_fees_up_to_date,4424.0,0.881,0.324,0.0,1.0,1.0,1.0,1.0
gender,4424.0,0.352,0.478,0.0,0.0,0.0,1.0,1.0
scholarship_holder,4424.0,0.248,0.432,0.0,0.0,0.0,0.0,1.0
age_at_enrollment,4424.0,23.265,7.588,17.0,19.0,20.0,25.0,70.0
international,4424.0,0.025,0.156,0.0,0.0,0.0,0.0,1.0
curricular_units_first_sem_credited,4424.0,0.71,2.361,0.0,0.0,0.0,0.0,20.0
curricular_units_first_sem_enrolled,4424.0,6.271,2.48,0.0,5.0,6.0,7.0,26.0
curricular_units_first_sem_evaluations,4424.0,8.299,4.179,0.0,6.0,8.0,10.0,45.0
curricular_units_first_sem_approved,4424.0,4.707,3.094,0.0,3.0,5.0,6.0,26.0
curricular_units_first_sem_grade,4424.0,10.641,4.844,0.0,11.0,12.286,13.4,18.875
curricular_units_first_sem_without_evaluations,4424.0,0.138,0.691,0.0,0.0,0.0,0.0,12.0
curricular_units_second_sem_credited,4424.0,0.542,1.919,0.0,0.0,0.0,0.0,19.0
curricular_units_second_sem_enrolled,4424.0,6.232,2.196,0.0,5.0,6.0,7.0,23.0
curricular_units_second_sem_evaluations,4424.0,8.063,3.948,0.0,6.0,8.0,10.0,33.0
curricular_units_second_sem_approved,4424.0,4.436,3.015,0.0,2.0,5.0,6.0,20.0
curricular_units_second_sem_grade,4424.0,10.23,5.211,0.0,10.75,12.2,13.333,18.571
curricular_units_second_sem_without_evaluations,4424.0,0.15,0.754,0.0,0.0,0.0,0.0,12.0
unemployment_rate,4424.0,11.566,2.664,7.6,9.4,11.1,13.9,16.2
inflation_rate,4424.0,1.228,1.383,-0.8,0.3,1.4,2.6,3.7
gdp,4424.0,0.002,2.27,-4.06,-1.7,0.32,1.79,3.51
is_dropout,4424.0,0.321,0.467,0.0,0.0,0.0,1.0,1.0
first_sem_approval_ratio,4424.0,0.698,0.365,0.0,0.5,0.833,1.0,1.0
first_sem_unapproved_units,4424.0,1.564,1.98,0.0,0.0,1.0,2.0,9.0
first_sem_approved_per_evaluation,4424.0,0.556,0.346,0.0,0.273,0.622,0.857,1.0
first_sem_without_eval_ratio,4424.0,0.022,0.103,0.0,0.0,0.0,0.0,1.0
financial_risk_flag,4424.0,0.177,0.382,0.0,0.0,0.0,0.0,1.0
